nace,description
A,"AGRICULTURE, FORESTRY AND FISHING"
J,INFORMATION AND COMMUNICATION
E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES"
I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES
O,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY
F,CONSTRUCTION
M,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
K,FINANCIAL AND INSURANCE ACTIVITIES
631,"Data processing, hosting and related activities; web portals"
P,EDUCATION
D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY"
Q,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES
H,TRANSPORTATION AND STORAGE
G,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES
R,"ARTS, ENTERTAINMENT AND RECREATION"
S,OTHER SERVICE ACTIVITIES
T,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE
C,MANUFACTURING
B,MINING AND QUARRYING
N,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES
U,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES
620,Extraction of natural gas
L,REAL ESTATE ACTIVITIES
73,Advertising and market research
52,Mining of lignite
51,Mining of hard coal
11,Growing of non-perennial crops
86,Human health activities
50,Mining of coal and lignite
87,Residential care activities
49,Land transport and transport via pipelines
88,Social work activities without accommodation
19,Manufacture of coke and refined petroleum products
64,"Financial service activities, except insurance and pension funding"
24,Support services to forestry
68,Real estate activities
16,Support activities to agriculture and post-harvest crop activities
90,Mining support service activities
91,Support activities for petroleum and natural gas extraction
92,Gambling and betting activities
93,Sports activities and amusement and recreation activities
94,Activities of membership organisations
95,Repair of computers and personal and household goods
47,"Retail trade, except of motor vehicles and motorcycles"
96,Other personal service activities
20,Forestry and logging
75,Veterinary activities
21,Silviculture and other forestry activities
292,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
302,Manufacture of railway locomotives and rolling stock
291,Manufacture of motor vehicles
10,"Crop and animal production, hunting and related service activities"
66,Activities auxiliary to financial services and insurance activities
97,Activities of households as employers of domestic personnel
98,Undifferentiated goods- and services-producing activities of private households for own use
85,Education
69,Legal and accounting activities
12,Growing of perennial crops
63,Information service activities
28,Manufacture of machinery and equipment n.e.c.
74,"Other professional, scientific and technical activities"
60,Extraction of crude petroleum and natural gas
59,"Motion picture, video and television programme production, sound recording and music publishing activities"
101,Processing and preserving of meat and production of meat products
77,Rental and leasing activities
15,Mixed farming
72,Mining of non-ferrous metal ores
22,Logging
58,Publishing activities
71,Mining of iron ores
78,Employment activities
62,Extraction of natural gas
61,Extraction of crude petroleum
79,"Travel agency, tour operator and other reservation service and related activities"
14,Animal production
639,Other information service activities
80,Other mining and quarrying
23,Gathering of wild growing non-wood products
56,Food and beverage service activities
9,Mining support service activities
82,"Office administrative, office support and other business support activities"
55,Accommodation
18,Printing and reproduction of recorded media
70,Mining of metal ores
84,Public administration and defence; compulsory social security
13,Plant propagation
53,Postal and courier activities
25,"Manufacture of fabricated metal products, except machinery and equipment"
619,Other telecommunications activities
613,Satellite telecommunications activities
17,"Hunting, trapping and related service activities"
81,"Quarrying of stone, sand and clay"
65,"Insurance, reinsurance and pension funding, except compulsory social security"
99,Support activities for other mining and quarrying
27,Manufacture of electrical equipment
45,Wholesale and retail trade and repair of motor vehicles and motorcycles
6,Extraction of crude petroleum and natural gas
37,Sewerage
43,Specialised construction activities
5,Mining of coal and lignite
42,Civil engineering
351,"Electric power generation, transmission and distribution"
329,Manufacturing n.e.c.
293,Manufacture of parts and accessories for motor vehicles
324,Manufacture of games and toys
232,Manufacture of refractory products
33,Repair and installation of machinery and equipment
3,Fishing and aquaculture
35,"Electricity, gas, steam and air conditioning supply"
39,Remediation activities and other waste management services
36,"Water collection, treatment and supply"
38,"Waste collection, treatment and disposal activities; materials recovery"
26,"Manufacture of computer, electronic and optical products"
2,Forestry and logging
41,Construction of buildings
7,Mining of metal ores
31,Fishing
32,Aquaculture
301,Building of ships and boats
1,"Crop and animal production, hunting and related service activities"
8,Other mining and quarrying
46,"Wholesale trade, except of motor vehicles and motorcycles"
29,"Manufacture of motor vehicles, trailers and semi-trailers"
30,Fishing and aquaculture
582,Software publishing
283,Manufacture of agricultural and forestry machinery
331,"Repair of fabricated metal products, machinery and equipment"
282,Manufacture of other general-purpose machinery
581,"Publishing of books, periodicals and other publishing activities"
332,Installation of industrial machinery and equipment
281,Manufacture of general-purpose machinery
352,Manufacture of gas; distribution of gaseous fuels through mains
641,Monetary intermediation
353,Steam and air conditioning supply
611,Wired telecommunications activities
642,Activities of holding companies
591,"Motion picture, video and television programme activities"
360,"Water collection, treatment and supply"
563,Beverage serving activities
562,Event catering and other food service activities
643,"Trusts, funds and similar financial entities"
649,"Other financial service activities, except insurance and pension funding"
261,Manufacture of electronic components and boards
284,Manufacture of metal forming machinery and machine tools
303,Manufacture of air and spacecraft and related machinery
304,Manufacture of military fighting vehicles
309,Manufacture of transport equipment n.e.c.
602,Television programming and broadcasting activities
310,Manufacture of furniture
289,Manufacture of other special-purpose machinery
322,Freshwater aquaculture
601,Radio broadcasting
323,Manufacture of sports goods
592,Sound recording and music publishing activities
612,Wireless telecommunications activities
325,Manufacture of medical and dental instruments and supplies
551,Hotels and similar accommodation
370,Sewerage
432,"Electrical, plumbing and other construction installation activities"
433,Building completion and finishing
439,Other specialised construction activities
451,Sale of motor vehicles
452,Maintenance and repair of motor vehicles
479,"Retail trade not in stores, stalls or markets"
663,Fund management activities
477,Retail sale of other goods in specialised stores
476,Retail sale of cultural and recreation goods in specialised stores
453,Sale of motor vehicle parts and accessories
454,"Sale, maintenance and repair of motorcycles and related parts and accessories"
491,"Passenger rail transport, interurban"
474,Retail sale of information and communication equipment in specialised stores
472,"Retail sale of food, beverages and tobacco in specialised stores"
471,Retail sale in non-specialised stores
461,Wholesale on a fee or contract basis
462,Wholesale of agricultural raw materials and live animals
469,Non-specialised wholesale trade
950,Repair of computers and personal and household goods
463,"Wholesale of food, beverages and tobacco"
464,Wholesale of household goods
475,Retail sale of other household equipment in specialised stores
465,Wholesale of information and communication equipment
4776,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores"
467,Other specialised wholesale
473,Retail sale of automotive fuel in specialised stores
492,Freight rail transport
493,Other passenger land transport
431,Demolition and site preparation
559,Other accommodation
553,"Camping grounds, recreational vehicle parks and trailer parks"
552,Holiday and other short-stay accommodation
466,"Wholesale of other machinery, equipment and supplies"
381,Waste collection
382,Waste treatment and disposal
532,Other postal and courier activities
383,Materials recovery
531,Postal activities under universal service obligation
390,Remediation activities and other waste management services
429,Construction of other civil engineering projects
522,Support activities for transportation
521,Warehousing and storage
411,Development of building projects
412,Construction of residential and non-residential buildings
512,Freight air transport and space transport
511,Passenger air transport
504,Inland freight water transport
503,Inland passenger water transport
421,Construction of roads and railways
502,Sea and coastal freight water transport
422,Construction of utility projects
501,Sea and coastal passenger water transport
495,Transport via pipeline
494,Freight transport by road and removal services
561,Restaurants and mobile food service activities
478,Retail sale via stalls and markets
732,Market research and public opinion polling
652,Reinsurance
250,"Manufacture of fabricated metal products, except machinery and equipment"
260,"Manufacture of computer, electronic and optical products"
270,Manufacture of electrical equipment
280,Manufacture of machinery and equipment n.e.c.
290,"Manufacture of motor vehicles, trailers and semi-trailers"
300,Manufacture of other transport equipment
240,Support services to forestry
320,Other manufacturing
350,"Electricity, gas, steam and air conditioning supply"
380,"Waste collection, treatment and disposal activities; materials recovery"
410,Construction of buildings
420,Civil engineering
430,Specialised construction activities
450,Wholesale and retail trade and repair of motor vehicles and motorcycles
520,Mining of lignite
330,Repair and installation of machinery and equipment
190,Manufacture of coke and refined petroleum products
180,Printing and reproduction of recorded media
170,"Hunting, trapping and related service activities"
530,Postal and courier activities
4777,Retail sale of watches and jewellery in specialised stores
220,Logging
230,Gathering of wild growing non-wood products
100,Manufacture of food products
130,Plant propagation
140,Manufacture of wearing apparel
982,Undifferentiated service-producing activities of private households for own use
970,Activities of households as employers of domestic personnel
150,Mixed farming
160,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
460,"Wholesale trade, except of motor vehicles and motorcycles"
990,Support activities for other mining and quarrying
470,"Retail trade, except of motor vehicles and motorcycles"
500,Water transport
740,"Other professional, scientific and technical activities"
770,Rental and leasing activities
780,Employment activities
790,"Travel agency, tour operator and other reservation service and related activities"
750,Veterinary activities
771,Rental and leasing of motor vehicles
800,Security and investigation activities
810,Services to buildings and landscape activities
730,Advertising and market research
820,"Office administrative, office support and other business support activities"
850,Education
860,Human health activities
870,Residential care activities
880,Social work activities without accommodation
930,Sports activities and amusement and recreation activities
940,Activities of membership organisations
840,Public administration and defence; compulsory social security
720,Scientific research and development
710,Mining of iron ores
700,Activities of head offices; management consultancy activities
510,Mining of hard coal
550,Accommodation
560,Food and beverage service activities
580,Publishing activities
590,"Motion picture, video and television programme production, sound recording and music publishing activities"
600,Programming and broadcasting activities
610,Extraction of crude petroleum
630,Information service activities
640,"Financial service activities, except insurance and pension funding"
650,"Insurance, reinsurance and pension funding, except compulsory social security"
660,Activities auxiliary to financial services and insurance activities
680,Real estate activities
690,Legal and accounting activities
490,Land transport and transport via pipelines
651,Insurance
772,Rental and leasing of personal and household goods
773,"Rental and leasing of other machinery, equipment and tangible goods"
774,"Leasing of intellectual property and similar products, except copyrighted works"
781,Activities of employment placement agencies
749,"Other professional, scientific and technical activities n.e.c."
782,Temporary employment agency activities
791,Travel agency and tour operator activities
799,Other reservation service and related activities
801,Private security activities
802,Security systems service activities
803,Investigation activities
811,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
783,Other human resources provision
743,Translation and interpretation activities
742,Photographic activities
741,Specialised design activities
653,Pension funding
661,"Activities auxiliary to financial services, except insurance and pension funding"
662,Activities auxiliary to insurance and pension funding
681,Buying and selling of own real estate
682,Rental and operating of own or leased real estate
683,Real estate activities on a fee or contract basis
691,Legal activities
692,"Accounting, bookkeeping and auditing activities; tax consultancy"
701,Activities of head offices
702,Management consultancy activities
711,Architectural and engineering activities and related technical consultancy
712,Technical testing and analysis
721,Mining of uranium and thorium ores
722,Research and experimental development on social sciences and humanities
731,Advertising
829,Business support service activities n.e.c.
981,Undifferentiated goods-producing activities of private households for own use
812,Operation of gravel and sand pits; mining of clays and kaolin
821,Office administrative and support activities
873,Residential care activities for the elderly and disabled
879,Other residential care activities
881,Social work activities without accommodation for the elderly and disabled
889,Other social work activities without accommodation
910,Support activities for petroleum and natural gas extraction
920,Gambling and betting activities
872,"Residential care activities for mental retardation, mental health and substance abuse"
931,Sports activities
234,Manufacture of other porcelain and ceramic products
941,"Activities of business, employers and professional membership organisations"
942,Activities of trade unions
949,Activities of other membership organisations
951,Repair of computers and communication equipment
952,Repair of personal and household goods
960,Other personal service activities
932,Amusement and recreation activities
871,Residential nursing care activities
869,Other human health activities
862,Medical and dental practice activities
822,Activities of call centres
823,Organisation of conventions and trade shows
841,Administration of the State and the economic and social policy of the community
842,Provision of services to the community as a whole
900,"Creative, arts and entertainment activities"
843,Compulsory social security activities
851,Pre-primary education
852,Primary education
853,Secondary education
200,Manufacture of chemicals and chemical products
854,Higher education
855,Other education
856,Educational support activities
210,Silviculture and other forestry activities
861,Hospital activities
813,Landscape service activities
279,Manufacture of other electrical equipment
980,Undifferentiated goods- and services-producing activities of private households for own use
204,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
255,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
256,Treatment and coating of metals; machining
103,Processing and preserving of fruit and vegetables
257,"Manufacture of cutlery, tools and general hardware"
102,"Processing and preserving of fish, crustaceans and molluscs"
171,"Manufacture of pulp, paper and paperboard"
131,Preparation and spinning of textile fibres
233,Manufacture of clay building materials
162,Support activities for animal production
172,Manufacture of articles of paper and paperboard
262,Manufacture of computers and peripheral equipment
263,Manufacture of communication equipment
89,Mining and quarrying n.e.c.
274,Manufacture of electric lighting equipment
321,Marine aquaculture
181,Printing and service activities related to printing
222,Manufacture of plastic products
264,Manufacture of consumer electronics
221,Manufacture of rubber products
235,"Manufacture of cement, lime and plaster"
254,Manufacture of weapons and ammunition
244,Manufacture of basic precious and other non-ferrous metals
120,Manufacture of tobacco products
132,Weaving of textiles
133,Finishing of textiles
139,Manufacture of other textiles
243,Manufacture of other products of first processing of steel
192,Manufacture of refined petroleum products
110,Manufacture of beverages
109,Manufacture of prepared animal feeds
242,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
141,Raising of dairy cattle
245,Casting of metals
142,Raising of other cattle and buffaloes
161,Support activities for crop production
108,Manufacture of other food products
143,Raising of horses and other equines
107,Manufacture of bakery and farinaceous products
239,Manufacture of abrasive products and non-metallic mineral products n.e.c.
237,"Cutting, shaping and finishing of stone"
251,Manufacture of structural metal products
106,"Manufacture of grain mill products, starches and starch products"
252,"Manufacture of tanks, reservoirs and containers of metal"
105,Manufacture of dairy products
151,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
152,Manufacture of footwear
253,"Manufacture of steam generators, except central heating hot water boilers"
236,"Manufacture of articles of concrete, cement and plaster"
104,Manufacture of vegetable and animal oils and fats
241,Manufacture of basic iron and steel and of ferro-alloys
4789,Retail sale via stalls and markets of other goods
265,"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"
259,Manufacture of other fabricated metal products
231,Manufacture of glass and glass products
268,Manufacture of magnetic and optical media
211,Manufacture of basic pharmaceutical products
205,Manufacture of other chemical products
191,Manufacture of coke oven products
271,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
206,Manufacture of man-made fibres
201,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
202,Manufacture of pesticides and other agrochemical products
212,Manufacture of pharmaceutical preparations
273,Manufacture of wiring and wiring devices
272,Manufacture of batteries and accumulators
203,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
275,Manufacture of domestic appliances
266,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
182,Reproduction of recorded media
267,Manufacture of optical instruments and photographic equipment
7912,Tour operator activities
7911,Travel agency activities
2015,Manufacture of fertilisers and nitrogen compounds
2016,Manufacture of plastics in primary forms
7740,"Leasing of intellectual property and similar products, except copyrighted works"
1420,Manufacture of articles of fur
6629,Other activities auxiliary to insurance and pension funding
1411,Manufacture of leather clothes
1412,Manufacture of workwear
1419,Manufacture of other wearing apparel and accessories
7735,Rental and leasing of air transport equipment
7810,Activities of employment placement agencies
1413,Manufacture of other outerwear
7820,Temporary employment agency activities
7739,"Rental and leasing of other machinery, equipment and tangible goods n.e.c."
6499,"Other financial service activities, except insurance and pension funding n.e.c."
6511,Life insurance
2017,Manufacture of synthetic rubber in primary forms
6512,Non-life insurance
1414,Manufacture of underwear
6492,Other credit granting
7734,Rental and leasing of water transport equipment
7733,Rental and leasing of office machinery and equipment (including computers)
1813,Pre-press and pre-media services
8030,Investigation activities
7990,Other reservation service and related activities
1310,Preparation and spinning of textile fibres
6419,Other monetary intermediation
8299,Other business support service activities n.e.c.
8292,Packaging activities
8291,Activities of collection agencies and credit bureaus
1320,Weaving of textiles
8220,Activities of call centres
8219,"Photocopying, document preparation and other specialised office support activities"
7732,Rental and leasing of construction and civil engineering machinery and equipment
8211,Combined office administrative service activities
1330,Finishing of textiles
6420,Activities of holding companies
8130,Landscape service activities
1391,Manufacture of knitted and crocheted fabrics
6491,Financial leasing
8129,Other cleaning activities
8122,Other building and industrial cleaning activities
8121,General cleaning of buildings
1910,Manufacture of coke oven products
6430,"Trusts, funds and similar financial entities"
6622,Activities of insurance agents and brokers
8110,Combined facilities support activities
1392,"Manufacture of made-up textile articles, except apparel"
1393,Manufacture of carpets and rugs
1394,"Manufacture of cordage, rope, twine and netting"
8020,Security systems service activities
1395,"Manufacture of non-wovens and articles made from non-wovens, except apparel"
8010,Private security activities
1396,Manufacture of other technical and industrial textiles
1399,Manufacture of other textiles n.e.c.
2020,Manufacture of pesticides and other agrochemical products
1512,"Manufacture of luggage, handbags and the like, saddlery and harness"
1431,Manufacture of knitted and crocheted hosiery
7220,Research and experimental development on social sciences and humanities
6621,Risk and damage evaluation
7219,Other research and experimental development on natural sciences and engineering
7211,Research and experimental development on biotechnology
7722,Rental of video tapes and disks
7721,Rental and leasing of recreational and sports goods
1711,Manufacture of pulp
1712,Manufacture of paper and paperboard
7120,Technical testing and analysis
1920,Manufacture of refined petroleum products
7112,Engineering activities and related technical consultancy
7111,Architectural activities
1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
1721,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
7022,Business and other management consultancy activities
1723,Manufacture of paper stationery
6810,Buying and selling of own real estate
7010,Activities of head offices
1729,Manufacture of other articles of paper and paperboard
1820,Reproduction of recorded media
